Manmino,English,Function,Origin,Korean,Japanese,Sanskrit,Chinese,Malaysian,Indonesian,Javanese,Tagalog,Khmer,Lao,Thai,Turkish,Arabic,Spanish,Portuguese,Mongolian,Vietnamese
jihongsyek,purple,Quality,Sinitic,,,,紫紅,,,,,,,,,,,,,
cimsang,bed,Objects and Concept,Sinitic,,,,寢床; 寢牀,,,,,,,,,,,,,
cincet,kind; friendly; nice (personality),Quality,Sinitic,,,,親切,,,,,,,,,,,,,
cingi,herder,Objects and Concept,Altaic,치기,飼(か)う,,,,,,,,,,,,,,малчин,
cinyu,friend,Objects and Concept,Sinitic,,,,親友,,,,,,,,,,,,,
cisyang,stab,Action,Sinitic,,,,刺傷,,,,,,,,,,,,,
cit,"seven (compounds; see also ""sapta"")",Objects and Concept,Sinitic,,,,七,,,,,,,,,,,,,
cita,mind,Objects and Concept,Sanskrit,,,चित्त (citta),,,,,,,,,,,,,,
cita ji beng,mental illness,Objects and Concept,Compound,,,,,,,,,,,,,,,,,
citawidya; citawitya,psychology,Objects and Concept,Sanskrit,,,चित्त + विद्या (citta + vidyā),,,,,,,,,,,,,,
co,that,Objects and Concept,N/A,,,,,,,,,,,,,,,,,
joba,grandpa; grandfather,Objects and Concept,Sinitic,,,,祖父,,,,,,,,,,,,,
jobama,grandparents; elders,Objects and Concept,Sinitic,,,,祖父母,,,,,,,,,,,,,
codi,there,Objects and Concept,Compound,,,,,,,,,,,,,,,,,
cok,poke; pick at (something); touch,Action,Sinitic,,,,觸,,,,,,,,,,,,,
cokcok,kiss; smooch; peck,Action,Sound-based,,,,,,,,,,,,,,,,,
joma,grandma; grandmother,Objects and Concept,Sinitic,,,,祖母,,,,,,,,,,,,,
cono,wolf,Objects and Concept,Altaic,,,,,,,,,,,,,,,,чоно,
coy,help (intentionally irregular),Action,Sinitic,,,,助,,,,,,,,,,,,,
cu,catch; grab; hunt,Action,Sinitic,,,,取,,,,,,,,,,,,,
cucut,take out; pluck; remove; delete,Action,Sinitic,,,,取出,,,,,,,,,,,,,
cutkow,exit,Objects and Concept,Sinitic,,,,出口,,,,,,,,,,,,,
da,more; many; a lot,Quality,Sinitic,,,,多,,,,,,,,,,,,,
dadwan,short,Quality,Sinitic,,,,多短,,,,,,,,,,,,,
daging,flesh; muscle; meat,Objects and Concept,Austronesian,,,,,daging,daging,,,,,,,,,,,
dagu,chin,Objects and Concept,Austronesian,,,,,dagu,dagu,,,,,,,,,,,
dajang,tall; long,Quality,Sinitic,,,,多長,,,,,,,,,,,,,
daksin,south,Quality,Sanskrit,,,दक्षिण (dákṣiṇa),,,,,,,,,,,,,,
dala,blood,Objects and Concept,Austronesian,,,,,darah,darah,,,,,,,,,,,
dan,but; however; still; only; (prevalant clause conjunction),Particle,Sinitic,,,,但,,,,,,,,,,,,,
danda,punishment; fine,Objects and Concept,Sanskrit,,,दण्ड (daṇḍá),,,,,,,,,,,,,,
danggwa,candy; sweets,Objects and Concept,Sinitic,,,,糖菓,,,,,,,,,,,,,
dasa,"ten (standalone; also see ""sip"")",Objects and Concept,Sanskrit,,,दश dáśa,,,,,,,,,,,,,,
